rank;word;freq;#texts;%caps;blog;web;TVM;spok;fic;mag;news;acad;blogPM;webPM;TVMPM;spokPM;ficPM;magPM;newsPM;acadPM
3961;pursue;21444;16709;0,01;2967;3305;1039;2421;1090;2883;3108;4631;23,88;25,70;8,11;19,19;9,21;22,86;25,53;38,66
3962;josh;21437;7218;0,97;2276;1933;4136;2490;3777;1993;3412;195;18,32;15,03;32,29;19,74;31,92;15,81;28,03;1,63
3963;olympic;21431;7592;0,99;1640;2339;486;3146;423;3187;9362;847;13,20;18,19;3,79;24,94;3,57;25,28;76,90;7,07
3964;forgive;21430;13443;0,20;2388;2377;8360;2269;3666;1197;831;342;19,22;18,48;65,27;17,99;30,98;9,49;6,83;2,85
3965;satisfaction;21423;11218;0,06;1770;2329;696;775;2481;2503;1241;9628;14,25;18,11;5,43;6,14;20,97;19,85;10,19;80,37
3966;listened;21419;15886;0,01;2205;2232;1831;2466;8191;1872;1655;967;17,75;17,35;14,30;19,55;69,23;14,85;13,59;8,07
3967;scary;21388;15607;0,07;4089;2859;4518;3790;1731;2275;1873;253;32,91;22,23;35,28;30,05;14,63;18,04;15,38;2,11
3968;efficiency;21387;11100;0,06;3397;2762;318;689;695;3916;1917;7693;27,34;21,48;2,48;5,46;5,87;31,06;15,75;64,22
3969;strip;21378;13860;0,23;2606;2626;2258;2073;3132;3371;3577;1719;20,97;20,42;17,63;16,43;26,47;26,73;29,38;14,35
3970;carl;21361;8638;0,99;1597;1595;4451;3010;4159;2183;2981;1358;12,85;12,40;34,75;23,86;35,15;17,31;24,49;11,34
3971;sequence;21328;10170;0,04;1883;5082;1312;756;1489;2759;964;7083;15,15;39,51;10,24;5,99;12,58;21,88;7,92;59,13
3972;legacy;21310;14801;0,13;2838;2652;1058;3147;661;3686;4170;3097;22,84;20,62;8,26;24,95;5,59;29,23;34,25;25,85
3973;succeed;21303;16905;0,02;3503;3514;1285;2667;1006;2920;3159;3249;28,19;27,32;10,03;21,14;8,50;23,16;25,95;27,12
3974;sorts;21302;17398;0,00;4092;3321;1223;3798;2479;2708;1923;1756;32,93;25,82;9,55;30,11;20,95;21,48;15,80;14,66
3975;enterprise;21296;12180;0,33;3659;3561;1692;1497;1003;3303;2534;4047;29,45;27,69;13,21;11,87;8,48;26,20;20,81;33,78
3976;corporation;21290;12223;0,49;2933;3891;1095;2362;858;3128;3432;3590;23,60;30,25;8,55;18,73;7,25;24,81;28,19;29,97
3977;mortgage;21288;8217;0,12;4077;4740;812;2170;573;3013;5188;698;32,81;36,85;6,34;17,20;4,84;23,90;42,61;5,83
3978;involve;21282;16713;0,01;2829;3335;890;1682;725;2764;2268;6789;22,77;25,93;6,95;13,33;6,13;21,92;18,63;56,67
3979;shore;21277;12752;0,28;1906;2164;1707;1639;4895;3562;3624;1619;15,34;16,83;13,33;12,99;41,37;28,25;29,77;13,52
3980;gross;21269;13657;0,31;2671;3069;2992;3267;987;2685;2743;2844;21,50;23,86;23,36;25,90;8,34;21,29;22,53;23,74
3981;whoever;21268;16483;0,31;2661;2607;6313;3179;3478;1229;1259;537;21,42;20,27;49,29;25,20;29,39;9,75;10,34;4,48
3982;gates;21257;10461;0,58;1970;2467;1753;4003;2788;3509;3209;1352;15,85;19,18;13,69;31,74;23,56;27,83;26,36;11,29
3983;ethics;21245;10007;0,25;2545;2820;652;2545;462;2284;3262;6675;20,48;21,93;5,09;20,18;3,90;18,11;26,79;55,72
3984;preparation;21244;13411;0,10;1927;2586;458;1115;921;2534;3079;8624;15,51;20,11;3,58;8,84;7,78;20,10;25,29;71,99
3985;calories;21231;5872;0,07;1887;1796;438;1475;235;10200;4877;323;15,19;13,96;3,42;11,69;1,99;80,89;40,06;2,70
3986;engagement;21230;11501;0,08;2765;2923;1417;1407;1227;1895;1504;8092;22,25;22,73;11,06;11,15;10,37;15,03;12,35;67,55
3987;hunter;21228;9473;0,62;1872;2052;3183;2362;2450;4224;3517;1398;15,07;15,95;24,85;18,73;20,71;33,50;28,89;11,67
3988;checks;21222;13873;0,03;2260;2548;1918;3094;2899;2693;4137;1667;18,19;19,81;14,98;24,53;24,50;21,36;33,98;13,92
3989;pressed;21215;15356;0,03;1278;1783;700;1095;10767;2594;1968;1029;10,29;13,86;5,47;8,68;91,00;20,57;16,17;8,59
3990;referring;21188;17233;0,05;3875;3653;931;2161;1380;2376;4011;2800;31,19;28,40;7,27;17,13;11,66;18,84;32,95;23,37
